gene_name	Spring_1	Spring_2	Spring_3	Spring_4	tHIO_1	tHIO_2	tHIO_3	Infant_1	Adult_1	Adult_2	Adult_3
FBXO4	182	266	132	119	44	34	44	150	166	124	154
FBXO40	0	0	0	0	0	0	0	1	2	3	0
FBXO41	37	9	8	20	22	14	15	137	82	93	68
FBXO42	496	331	538	334	278	357	432	457	345	272	362
FBXO43	15	15	7	12	3	9	9	8	2	1	1
FBXO44	342	444	389	226	237	376	220	189	366	287	338
FBXO45	251	122	191	167	28	89	101	211	237	192	272
FBXO46	430	194	357	271	227	379	466	356	355	270	472
FBXO47	0	0	0	0	0	0	0	0	0	0	0
FBXO48	37	20	25	30	6	22	8	36	39	40	87
FBXO5	255	263	217	239	118	126	176	182	119	79	99
FBXO6	244	665	280	253	134	349	102	213	352	170	397
FBXO7	2494	2065	2392	1847	959	1408	1522	1919	2855	2021	2851
FBXO8	408	510	353	300	103	144	139	326	425	335	510
FBXO9	1451	1803	1141	1210	397	688	700	996	846	614	694
FBXW10	1	2	1	0	1	2	3	0	1	0	0
FBXW11	1129	562	1030	812	194	338	487	800	756	550	935
FBXW12	0	0	2	0	0	0	0	0	0	0	0
FBXW2	1510	649	1309	1128	361	535	632	1083	999	877	1005
FBXW4	1032	401	983	736	460	721	818	724	1011	789	959
FBXW4P1	7	3	2	1	1	8	6	5	10	4	7
FBXW5	3002	2704	2702	2173	2171	2827	2821	2029	4684	2799	4973
FBXW7	280	113	202	172	78	95	102	252	302	309	332
FBXW8	510	205	367	409	185	202	314	434	155	127	148
FBXW9	246	340	205	178	223	194	277	116	134	88	120
FCAMR	44	38	43	21	14	15	64	55	62	40	92
FCAR	0	0	0	0	0	0	0	13	5	14	0
FCER1A	0	0	0	0	0	0	0	111	63	65	99
FCER1G	88	143	2	2	0	101	65	685	595	381	455
FCER2	0	0	0	0	0	0	0	43	18	22	23
FCF1	479	328	308	304	93	111	161	426	371	283	391
FCGBP	9403	3646	6703	4727	1292	1150	4985	4708	8907	6687	15379
FCGR1A	13	24	4	1	1	4	8	24	3	7	12
FCGR1B	7	1	0	0	0	1	1	6	0	3	1
FCGR1C	2	2	0	0	0	0	0	0	0	1	0
FCGR2A	41	30	7	8	1	18	31	315	297	248	272
FCGR2B	0	0	0	0	0	0	0	24	71	43	34
FCGR2C	0	0	0	0	0	0	1	6	9	10	0
FCGR3A	83	83	0	2	0	51	41	196	74	61	67
FCGR3B	1	0	0	0	0	0	0	66	51	108	8
FCGRT	14755	19564	10706	8430	7297	13530	14186	6989	15117	9130	16834
FCHO1	16	19	31	15	4	17	16	109	96	56	79
FCHO2	476	387	359	257	39	89	104	356	441	453	717
FCHSD1	276	217	297	199	206	210	178	193	346	281	327
FCHSD2	637	427	514	565	358	287	571	768	417	436	481
FCN1	0	0	0	0	0	0	0	290	40	18	9
FCN2	0	1	0	0	0	0	0	0	2	2	0
FCN3	2	6	1	3	1	0	3	5	2	3	5
FCRL1	0	0	0	0	0	0	0	51	10	8	3
FCRL2	3	5	0	0	0	0	0	37	18	38	46
FCRL3	0	0	0	0	0	0	0	34	29	9	22
FCRL4	0	0	0	0	0	0	0	5	16	6	14
FCRL5	4	8	4	1	1	0	5	30	127	216	241
FCRL6	0	0	0	0	0	1	0	22	33	16	23
FCRLA	0	0	0	0	0	0	0	75	14	25	14
FCRLB	7	1	4	2	2	5	2	4	7	9	13
FDCSP	2	0	1	0	2	0	1	23	24	0	3
FDFT1	2062	1978	1319	1502	876	983	1559	1429	1782	1121	1509
FDPS	1135	1733	1077	1054	598	1066	1138	867	1227	831	1099
FDPSL2A	1	0	1	1	0	0	3	1	0	6	5
FDX1	990	1265	967	610	169	572	511	461	945	656	1124
FDX1L	207	250	150	141	215	225	245	117	187	116	114
FDXACB1	72	76	48	32	32	38	46	52	42	27	28
FDXR	179	209	192	147	152	119	172	124	182	133	200
FECH	420	455	375	307	203	157	231	469	331	216	362
FEM1A	791	394	552	527	347	524	580	629	536	377	699
FEM1B	633	602	576	635	108	262	264	641	317	303	507
FEM1C	534	319	333	335	48	69	120	332	427	542	846
FEN1	634	403	590	600	207	284	626	507	484	235	366
FER	72	36	49	61	16	18	23	69	23	41	31
FER1L4	235	27	24	6	16	14	6	14	64	82	46
FER1L5	10	8	17	13	4	12	9	15	3	3	1
FER1L6	521	53	133	77	6	8	48	51	56	89	307
FER1L6-AS1	0	0	0	0	0	0	0	0	0	0	0
FERD3L	0	0	0	0	0	0	0	0	0	0	0
FERMT1	1156	521	784	600	130	348	583	461	490	360	668
FERMT2	1966	2158	2582	3206	1160	1537	1852	3423	772	698	441
FERMT3	437	379	280	215	86	330	267	599	702	475	648
FES	288	178	200	128	175	201	241	472	291	259	165
FETUB	0	0	0	0	0	0	0	0	0	0	0
FEV	312	184	124	85	33	131	233	122	85	81	120
FEZ1	295	484	342	326	487	289	265	585	164	203	82
